allo	7	10	5	 pA_B	
c	7	8	6	 pA_I	
est	7	8	6	 pA_L	
	 	 	 	 	 
oui	5	5	4	 pA_U	
	 	 	 	 	 
ça	5	6	5	 pA_B	
va	7	11	5	 pA_L	
	 	 	 	 	 
oui	7	17	4	 pA_B	
et	6	6	5	 pA_I	
toi	5	6	5	 pA_L	
	 	 	 	 	 
ça	6	7	6	 pA_B	
va	5	6	5	 pA_L	
dis	6	9	4	 pA_B	
je	9	10	7	 pA_I	
voulais	6	7	5	 pA_I	
te	5	6	4	 pA_I	
demander	6	7	4	 pA_L	
demain	6	9	4	 pA_B	
vu	6	8	5	 pA_I	
que	5	6	5	 pA_I	
on	5	5	4	 pA_I	
a	5	5	5	 pA_I	
qu	5	5	5	 pA_I	
une	5	5	5	 pA_I	
heure	6	7	5	 pA_I	
pour	6	6	5	 pA_I	
manger	6	7	5	 pA_I	
euh	5	7	4	 pA_I	
ça	5	6	4	 pA_I	
te	5	5	4	 pA_I	
dit	4	4	4	 pA_I	
que	6	8	4	 pA_I	
on	5	6	4	 pA_I	
aille	5	5	5	 pA_I	
manger	5	5	4	 pA_I	
dehors	5	9	4	 pA_L	
	 	 	 	 	 
euh	10	21	4	 pA_B	
hm	4	5	3	 pA_L	
je	 NA	 NA	 NA	 pA_B	
sais	4	5	4	 pA_I	
pas	5	5	4	 pA_I	
en	5	5	4	 pA_I	
fait	4	5	4	 pA_I	
parce	9	19	3	 pA_I	
que	9	19	3	 pA_I	
le	4	4	3	 pA_I	
truc	14	23	6	 pA_I	
c	13	13	12	 pA_I	
est	13	13	12	 pA_I	
que	5	19	3	 pA_I	
j	3	4	3	 pA_I	
ai	3	4	3	 pA_I	
encore	18	22	3	 pA_I	
pas	4	5	4	 pA_I	
de	5	6	5	 pA_I	
monnaie	5	6	5	 pA_L	
	 	 	 	 	 
ah	5	5	5	 pA_B	
ouais	5	7	4	 pA_L	
	 	 	 	 	 
donc	9	19	4	 pA_B	
euh	4	5	4	 pA_I	
du	4	4	4	 pA_I	
coup	6	7	6	 pA_I	
ça	5	6	4	 pA_I	
voudrait	4	5	4	 pA_I	
dire	5	6	4	 pA_I	
que	4	5	4	 pA_I	
on	4	4	4	 pA_I	
mangerait	4	4	4	 pA_I	
genre	4	4	4	 pA_I	
encore	6	17	4	 pA_I	
un	5	6	5	 pA_I	
sandwich	7	19	5	 pA_I	
non	4	5	4	 pA_L	
	 	 	 	 	 
ouais	5	5	5	 pA_U	
ouais	5	5	5	 pA_B	
c	5	5	4	 pA_I	
est	5	5	4	 pA_I	
c	5	5	4	 pA_I	
est	5	5	4	 pA_I	
vrai	4	4	4	 pA_I	
c	4	5	4	 pA_I	
est	4	5	4	 pA_I	
pas	4	4	4	 pA_I	
trop	4	4	3	 pA_I	
c	4	5	4	 pA_I	
est	4	5	4	 pA_I	
pas	4	4	4	 pA_I	
trop	5	6	1	 pA_I	
le	3	6	1	 pA_I	
top	5	6	4	 pA_L	
	 	 	 	 	 
ouais	9	18	4	 pA_B	
enfin	4	5	4	 pA_I	
ouais	5	5	4	 pA_I	
en	5	5	4	 pA_I	
fait	4	6	2	 pA_I	
le	9	19	5	 pA_I	
truc	16	22	14	 pA_I	
c	5	15	4	 pA_I	
est	5	15	4	 pA_I	
que	5	5	4	 pA_I	
ouais	5	5	4	 pA_I	
comme	5	5	5	 pA_I	
j	14	15	5	 pA_I	
ai	14	15	5	 pA_I	
pas	8	16	6	 pA_I	
