oui	181	187	176	0.08939999999999948	67	81	51	pA_B
allô	231	337	173	0.30150000000000077	76	81	56	pA_L
								
allô	126	184	109	0.16610000000000014	73	79	62	pA_U
								
oui	251	389	160	0.3238999999999983	73	82	52	pA_U
								
c'	475	693	142	0.16949999999999932	69	80	63	pA_B
est	475	693	142	0.16949999999999932	69	80	63	pA_L
								
hé	274	334	195	0.5485000000000007	80	84	61	pA_B
ça	182	195	169	0.14389999999999858	75	83	65	pA_I
va	282	394	181	0.277000000000001	76	85	57	pA_L
								
ça	480	652	138	0.16539999999999822	73	80	56	pA_B
va	145	158	128	0.1443000000000012	77	86	67	pA_I
et	164	167	158	0.10790000000000077	80	87	68	pA_I
toi	122	156	74	0.3269999999999982	76	86	59	pA_L
								
ben	172	183	164	0.1667999999999985	78	81	67	pA_B
ouais	268	374	183	0.278100000000002	79	83	72	pA_I
c'	319	526	233	0.1463000000000001	74	82	68	pA_I
est	319	526	233	0.1463000000000001	74	82	68	pA_I
quoi	268	279	238	0.1570999999999998	76	80	70	pA_I
ce	252	277	237	0.07760000000000034	67	71	63	pA_I
numéro	260	316	232	0.5645999999999987	77	83	57	pA_L
								
ben	173	513	119	0.14150000000000063	69	82	55	pA_B
c'	132	147	120	0.12490000000000023	70	77	65	pA_I
est	132	147	120	0.12490000000000023	70	77	65	pA_I
le	150	154	142	0.08520000000000039	82	83	78	pA_I
numéro	154	159	151	0.21569999999999823	84	86	78	pA_I
du	163	169	157	0.10600000000000165	78	81	75	pA_I
fixe	184	201	157	0.4826999999999977	64	79	47	pA_L
								
ah	278	332	177	0.6953999999999994	81	84	71	pA_B
ok	248	368	165	0.6625000000000014	75	84	54	pA_I
tu	499	564	179	0.08709999999999951	75	83	60	pA_I
vas	165	200	131	0.07380000000000209	80	82	78	pA_I
bien	281	403	132	0.30790000000000006	72	81	47	pA_L
								
ouais	195	549	127	0.3279999999999994	73	87	47	pA_B
ça	168	188	145	0.16280000000000072	72	82	62	pA_I
va	156	164	142	0.2455999999999996	76	86	57	pA_L
dis	143	164	130	0.1742999999999988	70	83	55	pA_B
moi	183	196	164	0.24780000000000157	83	85	72	pA_I
je	146	147	144	0.1205999999999996	69	72	66	pA_I
te	161	174	154	0.1205999999999996	76	85	59	pA_I
dérange	198	272	153	0.42210000000000036	74	87	47	pA_L
								
non	260	403	164	0.29739999999999966	79	82	68	pA_B
pas	246	349	201	0.142000000000003	76	82	65	pA_I
du	199	212	183	0.1342999999999961	74	77	66	pA_I
tout	266	634	186	0.23969999999999914	69	77	56	pA_L
								
non	124	126	121	0.15879999999999939	72	80	53	pA_B
parce	133	154	117	0.24860000000000326	72	83	57	pA_I
que	133	154	117	0.24860000000000326	72	83	57	pA_I
tu	133	137	126	0.07410000000000139	76	85	67	pA_I
as	126	134	109	0.12609999999999388	79	85	66	pA_I
tu	130	132	129	0.060600000000000875	66	74	62	pA_I
as	126	127	126	0.035600000000002296	80	82	79	pA_I
l'	126	130	123	0.13289999999999935	83	84	81	pA_I
air	126	130	123	0.13289999999999935	83	84	81	pA_I
d'	124	130	119	0.21010000000000417	82	85	78	pA_I
avoir	124	130	119	0.21010000000000417	82	85	78	pA_I
du	124	130	118	0.07759999999999678	79	80	76	pA_I
monde	149	161	129	0.18359999999999843	81	83	80	pA_I
derrière	131	156	122	0.2687000000000026	78	85	57	pA_I
toi	135	140	132	0.2383000000000024	69	80	53	pA_L
								
non	209	221	201	0.2588000000000008	76	83	57	pA_B
mais	215	234	182	0.13810000000000144	77	82	72	pA_I
je	379	421	234	0.06439999999999913	72	79	66	pA_I
suis	244	394	194	0.09839999999999805	76	81	68	pA_I
avec	237	355	159	0.23210000000000264	72	81	52	pA_I
et	177	212	171	0.6090000000000018	80	83	79	pA_I
et	177	186	163	0.16659999999999542	81	83	79	pA_I
un	251	393	160	0.1647000000000034	78	81	75	pA_I
pote	209	214	205	0.24790000000000134	72	81	54	pA_I
euh	175	190	167	0.3406999999999982	83	84	81	pA_I
et	171	174	168	0.10600000000000165	79	81	78	pA_I
un	248	377	170	0.13060000000000116	73	82	61	pA_I
pote	202	213	173	0.2195999999999998	72	82	56	pA_I
on	179	181	174	0.09839999999999805	79	81	78	pA_I
est	175	176	172	0.05250000000000199	81	81	81	pA_I
à	167	172	163	0.09890000000000043	76	82	67	pA_I
Bastille	231	394	163	0.6404999999999959	67	81	46	pA_I
mais	379	738	135	0.2406000000000006	72	87	52	pA_I
je	143	145	139	0.1203000000000003	79	87	67	pA_I
t'	290	648	138	0.48109999999999786	72	85	51	pA_I
écoute	290	648	138	0.48109999999999786	72	85	51	pA_L
								
tu	140	145	137	0.12429999999999808	76	85	65	pA_B
lui	149	156	142	0.12180000000000035	85	88	81	pA_I
diras	161	180	140	0.2838999999999956	83	89	72	pA_I
que	153	180	137	0.2780000000000058	84	89	68	pA_I
elle	142	156	127	0.09019999999999584	85	88	83	pA_I
répond	138	154	125	0.28010000000000446	79	87	64	pA_I
pas	151	160	129	0.10029999999999717	81	88	68	pA_I
à	147	148	145	0.04930000000000234	84	87	79	pA_I
son	147	157	133	0.16080000000000183	74	82	67	pA_I
téléphone	149	297	134	0.4911999999999992	77	87	62	pA_L
								
hé	180	229	129	0.285499999999999	78	86	60	pA_B
tu	216	254	192	0.11710000000000065	72	81	65	pA_I
réponds	287	374	170	0.26310000000000144	74	80	60	pA_I
pas	196	198	193	0.0945999999999998	78	82	60	pA_I
à	195	200	191	0.09850000000000136	68	81	53	pA_I
ton	363	378	341	0.13230000000000075	74	81	65	pA_I
téléphone	384	633	171	0.3691999999999993	73	81	50	pA_I
il	336	361	312	0.09839999999999805	75	81	63	pA_I
paraît	155	312	144	0.2820999999999998	77	84	58	pA_L
de	191	198	186	0.0742000000000047	76	81	68	pA_B
la	202	233	178	0.07410000000000139	79	81	76	pA_I
part	228	373	195	0.14819999999999567	74	81	59	pA_I
de	143	201	84	0.07410000000000139	76	81	71	pA_L
								
ben	251	267	241	0.1536000000000044	76	85	49	pA_B
pourquoi	249	293	130	0.4608999999999952	72	83	59	pA_I
il	298	302	287	0.07570000000000476	74	78	68	pA_I
m'	234	295	204	0.12889999999999446	77	83	66	pA_I
a	234	295	204	0.12889999999999446	77	83	66	pA_I
appelée	364	445	203	0.35829999999999984	72	81	54	pA_L
								
